code,client,latitude,longitude,surface_area,seeding_date,crop,disabled,geometry
PLOT00103,CLIENT00308,43.82996,1.513894,15,2026-04-25,Maïs semence,False,"MULTIPOLYGON(((1.51851013 43.82651857,1.51824352 43.8265676,1.517191227 43.82696064,1.51677784 43.82639348,1.519059658 43.825530856,1.51912133 43.82559925,1.51947602 43.82612284,1.51851013 43.82651857)),((1.51348667 43.82871605,1.51348822 43.82870931,1.51398019 43.82864847,1.51416977 43.82872142,1.51416995 43.82872149,1.51417274 43.82872042,1.51460606 43.82855359,1.51559219 43.8282404,1.51727048 43.82763694,1.51844341 43.82707866,1.51974537 43.82660496,1.51999684 43.82684152,1.52065866 43.82762175,1.51389351 43.82995969,1.51308331 43.82909759,1.51307348 43.82909215,1.51286031 43.82897425,1.51348667 43.82871605)))"
PLOT00106,CLIENT00308,43.826267,1.569228,11,2026-04-23,Maïs semence,False,"MULTIPOLYGON(((1.5695963 43.82724803,1.56959824 43.82725029,1.56875066 43.82757924,1.56793501 43.8267176,1.56784944 43.82662721,1.56898543 43.82806527,1.56898669 43.82806686,1.56799964 43.828539,1.56672819 43.8273105,1.56656529 43.82737021,1.56655391 43.82737438,1.566559829 43.827380244,1.56625411 43.82750689,1.56616181 43.82740402,1.566159105 43.827402321,1.56616403 43.82739883,1.56616234 43.82739761,1.56548844 43.82691145,1.56557458 43.82682936,1.56588901 43.82652971,1.56632803 43.82631769,1.56689641 43.82605196,1.56720608 43.8258569,1.56762102 43.82561999,1.56764739 43.82560494,1.56767646 43.82558834,1.56795621 43.82549957,1.56800411 43.82549557,1.56807631 43.82548954,1.5695963 43.82724803)),((1.56740711 43.82554327,1.56733543 43.82564488,1.56658674 43.82610567,1.56592429 43.82641946,1.56544612 43.82684496,1.56520994 43.82646151,1.56556041 43.82619586,1.56559066 43.82521477,1.56596874 43.82449529,1.56605948 43.82419005,1.56798013 43.82437537,1.56787274 43.82484185,1.56713565 43.8253175,1.56740711 43.82554327)),((1.571638892 43.826576726,1.57166865 43.82684941,1.5716689 43.82685167,1.56995765 43.82763729,1.56901352 43.82802042,1.5687292 43.8276876,1.56873981 43.82768295,1.56968407 43.82726964,1.56968248 43.82726778,1.56812839 43.82545068,1.56813918 43.82544623,1.56854145 43.8252804,1.56855013 43.82527403,1.56885795 43.82504818,1.5690457 43.8248508,1.56927596 43.82419294,1.56927857 43.82420473,1.5692871 43.82424318,1.56929255 43.82422058,1.569367319 43.823910794,1.571638892 43.826576726)))"
PLOT00107,CLIENT00308,43.179302,1.814696,5,2026-05-21,Maïs semence,False,"POLYGON((1.81376788 43.18061045,1.81365507 43.18055947,1.81320816 43.18057745,1.81305827 43.17989431,1.813042268 43.179821385,1.817699597 43.178036386,1.81772035 43.17808807,1.81812121 43.17908646,1.81567736 43.17997216,1.81471457 43.18056155,1.81387065 43.1806569,1.81376788 43.18061045))"
PLOT00108,CLIENT00308,43.182245,1.781957,5,2026-05-08,Maïs semence,False,"POLYGON((1.7820425 43.18405242,1.78155327 43.18408997,1.78101253 43.18330766,1.78027439 43.18176805,1.78020573 43.18101701,1.78024864 43.1808668,1.7805596 43.18092349,1.78076363 43.18096068,1.78083051 43.18093801,1.78174062 43.18062947,1.7817421 43.18062897,1.78180036 43.18060033,1.78198242 43.18051083,1.78222275 43.18004142,1.78233299 43.18005954,1.78375352 43.1834895,1.78278835 43.18381621,1.7820425 43.18405242))"
PLOT00109,CLIENT00308,43.748824,1.63221,10,2026-05-20,Maïs semence,False,"POLYGON((1.635854459 43.74770485,1.637317738 43.748227158,1.63668723 43.74987491,1.63556153 43.74971858,1.6353234 43.75056272,1.632026936 43.750201145,1.63207858 43.74987298,1.63210727 43.74969068,1.632244576 43.748818165,1.63277974 43.74813188,1.63392709 43.74748312,1.63460901 43.74742059,1.635854459 43.74770485))"
PLOT00111,CLIENT00308,43.821176,1.577941,13.27,2026-04-24,Maïs semence,False,"POLYGON((1.5702030820237 43.82412367365,1.572413222252 43.821615692523,1.5737221402512 43.822683919587,1.5753529233323 43.823922419793,1.5754387540208 43.824077230512,1.5752241772996 43.824804835514,1.5748808545457 43.825222817356,1.5743444127427 43.825640796271,1.5735504788743 43.826136174899,1.5726492566453 43.826647029803,1.5722630185471 43.826275499397,1.571705119072 43.826569627826,1.5714476270066 43.826043291719,1.5711043042527 43.825377624703,1.5712974233018 43.825114451974,1.5702030820237 43.82412367365))"
PLOT00112,CLIENT00308,43.233439,1.708294,30,2026-05-08,Maïs semence,False,"MULTIPOLYGON(((1.7065352338857 43.2315540297,1.7061872774228 43.229867383577,1.7064018541439 43.229460890145,1.7066164308651 43.229179470027,1.7074532800778 43.229007490426,1.7084939771756 43.229362806066,1.7091913515194 43.229812294561,1.7096159714147 43.230313482851,1.709862734644 43.230958390033,1.7101148622914 43.23146258544,1.7104206341191 43.231790896486,1.7101957760402 43.232081912235,1.7096968851635 43.232464937725,1.7081412039348 43.233621816424,1.7074921093532 43.232828418871,1.7068839210576 43.23207971658,1.706591560275 43.231739681718,1.7065352338857 43.2315540297)),((1.7086470043473 43.233478214853,1.7101919567398 43.232274432367,1.7105352794937 43.231867954988,1.7121016895584 43.233103012473,1.709312192183 43.234994634272,1.7089903271012 43.233947214581,1.7086470043473 43.233478214853)))"
PLOT00113,CLIENT00308,43.263288,2.074201,9.16,2026-04-25,Maïs semence,False,"POLYGON((2.07374076 43.26552343,2.07232195 43.26159633,2.07438186 43.26122738,2.07444037 43.26139393,2.07454604 43.26193259,2.07480434 43.262343,2.07483249 43.26235631,2.07545758 43.26246199,2.07560477 43.262486873,2.07619921 43.26503758,2.07616799 43.26504375,2.07612092 43.26505305,2.07374076 43.26552343))"
PLOT00119,CLIENT00308,43.188361,1.71949,18,2026-05-26,Maïs semence,False,"MULTIPOLYGON(((1.70964704 43.16845228,1.70964566 43.16846048,1.70957142 43.16981375,1.70818735 43.16967238,1.70524746 43.16934325,1.70334378 43.16911394,1.70329452 43.16805443,1.70327763 43.16769115,1.70964704 43.16845228)),((1.72264182 43.1882739,1.72260384 43.18855933,1.72258934 43.18922496,1.72095123 43.18908761,1.71864628 43.18888686,1.71737058 43.1888129,1.71714109 43.18701204,1.71710997 43.18644489,1.71936653 43.18646758,1.72012856 43.18702368,1.72013555 43.18791145,1.72260323 43.18826832,1.72264182 43.1882739)))"
PLOT00120,CLIENT00308,43.184359,1.72267,19,2026-04-20,Maïs semence,False,"POLYGON((1.72341058 43.1839608,1.72381787 43.18287617,1.7275012 43.18266957,1.72688141 43.18348305,1.72691683 43.18518745,1.72617308 43.18553607,1.72634633 43.18620788,1.72541053 43.18676887,1.72325804 43.18720031,1.7219531 43.18732778,1.72096683 43.18703383,1.72092804 43.18700943,1.720693184 43.186861678,1.72266548 43.184029329,1.72281455 43.18401562,1.72287529 43.18401003,1.72338473 43.18396318,1.72341058 43.1839608))"
